id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
18491,Neon Genesis Evangelion: The End of Evangelion,"Drama,Animation,Science Fiction,Action",ja,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",32.759,19-07-1997,8.4,1102
1891,The Empire Strikes Back,"Adventure,Action,Science Fiction",en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",28.323,20-05-1980,8.4,14384
599,Sunset Boulevard,Drama,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,17.814,10-08-1950,8.4,1982
441130,Wolfwalkers,"Animation,Family,Adventure,Fantasy",en,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",17.052,26-10-2020,8.4,800
120,The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action",en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",168.448,18-12-2001,8.4,21207
3782,Ikiru,Drama,ja,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",9.854,09-10-1952,8.4,809
704264,Primal: Tales of Savagery,"Action,Adventure,Animation",en,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",62.485,21-11-2019,8.4,227
423,The Pianist,"Drama,War",en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",40.571,17-09-2002,8.4,7374
157336,Interstellar,"Adventure,Drama,Science Fiction",en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,191.22,05-11-2014,8.4,28920
244786,Whiplash,"Drama,Music",en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",57.858,10-10-2014,8.4,12371
